title,NER,Protein,Protein Group
Chicken Curry With Coconut Milk And Greek Yogurt,"[""peanut oil"", ""chicken"", ""onions"", ""garlic"", ""ginger"", ""flour"", ""curry"", ""saffron"", ""cumin powdered"", ""pepper"", ""tomato"", ""red pepper"", ""coconut milk"", ""greek yogurt"", ""chicken"", ""spinach leaves"", ""basil"", ""greek yogurt"", ""salt"", ""ground black pepper"", ""rice""]",Chicken,Meat
Aarti’S Green Minty Curry Chicken,"[""cilantro"", ""red onion"", ""garlic"", ""ginger"", ""salt"", ""freshly ground black pepper"", ""chicken"", ""olive oil"", ""shallots"", ""ground cumin"", ""ground coriander"", ""Garam Masala"", ""ground turmeric"", ""chicken"", ""malt vinegar"", ""milk yogurt"", ""basmati rice"", ""bread""]",Chicken,Meat
Thai Green Curry,"[""olive oil"", ""onion"", ""bell pepper"", ""lemon grass"", ""ginger"", ""green curry"", ""unsweetened coconut milk"", ""chicken broth"", ""chicken breast"", ""salt"", ""french beans"", ""mushrooms"", ""basil"", ""cilantro"", ""rice"", ""coriander seeds"", ""cumin seeds"", ""black peppercorns for"", ""onion"", ""green chilies"", ""garlic"", ""handful cilantro"", ""ginger"", ""water""]",Chicken,Meat
Massaman Curry : Slow Cooker,"[""chicken"", ""curry paste"", ""coconut milk"", ""water"", ""curry"", ""fish sauce"", ""brown sugar"", ""tamarind pulp"", ""onion"", ""peanut butter"", ""peanut roasted""]",Chicken,Meat
Thai Red Chicken Curry Recipe,"[""stalk lemongrass"", ""cooking oil"", ""curry paste Red Thai"", ""fish sauce"", ""salt"", ""basil"", ""chili thai"", ""coconut milk"", ""lime leaves"", ""soy"", ""rice vinegar""]",Chicken,Meat
Caribbean Curry,"[""vegetable oil"", ""chicken"", ""onions"", ""garlic"", ""fresh ginger"", ""pineapple"", ""cauliflower"", ""curry powder"", ""World"", ""fresh cilantro"", ""brown rice"", ""salt"", ""ground black pepper""]",Chicken,Meat
Madras Curry,"[""chicken"", ""vegetable oil"", ""onion purse"", ""garlic puree"", ""ginger purse"", ""tomatoes"", ""ground almond"", ""salt"", ""fresh coriander"", ""Garam Masala"", ""red chillies"", ""ground black pepper"", ""chilli powder"", ""cumin seeds white"", ""fenugreek seeds"", ""turmeric"", ""green cardamoms""]",Chicken,Meat
Chicken Breast With Tomato Curry And Noodles,"[""chicken"", ""sunflower oil"", ""noodles"", ""onion"", ""banana"", ""flour"", ""curry powder"", ""tomato paste"", ""vegetable stock"", ""apple juice"", ""basil""]",Chicken,Meat
Nasi Lemak And Curry Chicken In America,"[""white rice"", ""water"", ""coconut milk"", ""bay leaves"", ""salt"", ""carrot"", ""water"", ""chicken thigh"", ""lemon grass mash"", ""garlic"", ""ginger mash"", ""soy sauce"", ""pepper"", ""bay leaves"", ""curry powder heap tbsp"", ""water curry"", ""peanut oil"", ""white onion"", ""rice wine"", ""coconut milk"", ""chicken consomme"", ""salt"", ""egg"", ""peanuts"", ""celery"", ""cilantro"", ""chili""]",Chicken,Meat
Panang Chicken Curry,"[""peanut oil"", ""chicken breasts"", ""panang curry"", ""coconut milk"", ""fish sauce"", ""brown sugar"", ""lime leaves"", ""sugar snap peas"", ""snow peas"", ""cilantro"", ""peanuts"", ""red chili pepper"", ""lime wedges""]",Chicken,Meat
Coconut Curry Chicken Skewers,"[""Tyson"", ""cinnamon powder"", ""chicken stock"", ""coconut milk"", ""red chilies"", ""canola oil"", ""kosher salt"", ""garlic"", ""fresh ginger"", ""shallot"", ""curry powder"", ""turmeric"", ""chili powder""]",Chicken,Meat
Chicken Curry With Coconut Milk And Cashews,"[""oil"", ""chicken thighs"", ""curry"", ""chicken stock"", ""coconut milk"", ""fresh coriander"", ""white rice"", ""peas"", ""cashew nuts""]",Chicken,Meat
Seafood Curry,"[""onions"", ""carrots"", ""celery"", ""garlic"", ""butter"", ""flour plain"", ""curry powder"", ""ginger ground"", ""salt"", ""chicken stock"", ""cream"", ""kilogram"", ""lemon juice""]",Chicken,Meat
Green Curry With Chicken,"[""oil"", ""chicken breasts"", ""ginger root"", ""onions"", ""clove garlic"", ""chili peppers"", ""green curry"", ""chicken stock"", ""unsweetened coconut milk"", ""scallions"", ""cilantro"", ""lime juice"", ""rice""]",Chicken,Meat
Crock Pot Massaman Curry,"[""beef"", ""potatoes"", ""brown onion"", ""curry"", ""flour"", ""chicken"", ""coconut cream"", ""fish sauce"", ""lemon juice"", ""brown sugar"", ""white rice""]",Chicken,Meat
Quick Coconut Chicken Curry,"[""chicken breasts"", ""onion"", ""coconut milk"", ""ginger root"", ""thai green curry"", ""coriander leaves"", ""jasmine rice""]",Chicken,Meat
Quick Chicken Curry With Peanuts,"[""chicken"", ""onion"", ""garlic"", ""ginger dried"", ""curry spices mixed"", ""chicken"", ""carrot"", ""frozen peas"", ""peanut butter"", ""peanuts"", ""coriander leaves"", ""olive oil""]",Chicken,Meat
Thai Green Curry,"[""coriander"", ""peanut oil"", ""green curry"", ""coconut milk"", ""chicken breasts"", ""fish sauce"", ""brown sugar"", ""lime"", ""basil""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""onion"", ""tomatoes"", ""curry powder"", ""turmeric"", ""garlic"", ""virgin olive oil"", ""coconut milk"", ""salt"", ""fresh coriander"", ""basmati rice"", ""water"", ""lemon"", ""fresh chives"", ""lemon"", ""salt"", ""flour"", ""butter"", ""water"", ""salt""]",Chicken,Meat
Red Chicken Curry,"[""red chili peppers"", ""red chili peppers"", ""red onion"", ""garlic"", ""roots washed"", ""galangal grated"", ""only"", ""salt"", ""lime peel"", ""shrimp paste"", ""vegetable oil"", ""coconut cream"", ""palm sugar"", ""fish sauce"", ""coconut milk"", ""lime"", ""chicken"", ""red pepper"", ""green beans"", ""lime juice"", ""cilantro"", ""rice""]",Chicken,Meat
Coconut Chicken Curry,"[""chicken"", ""red onion"", ""curry powder"", ""coconut milk"", ""tomatoes"", ""broccoli"", ""red pepper"", ""green beans"", ""cashews"", ""long grain white rice""]",Chicken,Meat
Malaysian Chicken Curry,"[""salt"", ""turmeric"", ""chicken"", ""garlic"", ""shallots"", ""gingerroot"", ""tender"", ""vegetable oil"", ""cloves"", ""star anise"", ""cinnamon sticks"", ""black mustard seeds"", ""red curry"", ""light brown sugar"", ""chicken stock"", ""coconut milk"", ""tomatoes"", ""asian eggplants"", ""green beans""]",Chicken,Meat
Red Curry Coconut Chicken,"[""coconut milk"", ""curry"", ""garlic"", ""ginger grated"", ""fish sauce"", ""chili peppers"", ""sugar"", ""cornstarch"", ""chicken"", ""salt"", ""black pepper"", ""flour"", ""vegetable oil"", ""bell peppers"", ""onion"", ""bamboo shoots"", ""basil"", ""coconut chips"", ""lime"", ""hot sauce""]",Chicken,Meat
Cantonese-Style Chicken Curry,"[""chicken"", ""cooking oil"", ""onion"", ""ginger"", ""curry powder"", ""cornstarch"", ""potatoes"", ""coconut milk"", ""salt"", ""sugar""]",Chicken,Meat
Chicken Curry Without Coconut Milk,"[""canola oil"", ""garlic"", ""ginger"", ""onion"", ""chicken kilo"", ""milk"", ""curry powder"", ""salt"", ""pepper"", ""chilli green""]",Chicken,Meat
Coconut Chicken Curry,"[""chicken thigh"", ""brown onion"", ""garlic"", ""tumeric"", ""red curry"", ""stem"", ""red chilli"", ""coconut milk"", ""curry"", ""coriander leaves"", ""lime juiced"", ""red bell pepper""]",Chicken,Meat
Curry Pad Thai,"[""chicken"", ""sesame oil"", ""vegetable oil"", ""garlic"", ""onion"", ""rice noodles"", ""red bell pepper"", ""yellow bell pepper"", ""fish sauce"", ""rice vinegar"", ""pepper"", ""tumeric"", ""curry powder"", ""eggs"", ""bean sprouts""]",Chicken,Meat
Lamb Curry,"[""boneless lamb"", ""pepper"", ""cornstarch"", ""olive oil"", ""yellow onions"", ""garlic"", ""chicken soup"", ""curry powder"", ""ginger"", ""salt""]",Chicken,Meat
Green Chicken Curry,"[""oil"", ""onion"", ""green curry"", ""coconut milk"", ""fish sauce"", ""brown sugar"", ""potato"", ""green beans"", ""rotisserie chicken"", ""lime juiced"", ""basmati rice"", ""cilantro""]",Chicken,Meat
Thai Red Chicken Curry,"[""peanut oil"", ""chicken"", ""onion"", ""red curry"", ""coconut milk"", ""chicken stock"", ""butternut squash"", ""chard"", ""palm sugar"", ""red chili"", ""fish sauce"", ""lime juice"", ""thai basil"", ""bean sprouts"", ""lime wedges"", ""jasmine rice""]",Chicken,Meat
Curry-Flavored Mashed Butternut Squash,"[""butternut squash"", ""onion"", ""olive oil"", ""curry Madras"", ""chicken"", ""salt"", ""pepper""]",Chicken,Meat
Hyderabadi Chicken Curry,"[""onion"", ""green chili"", ""ginger paste"", ""garlic"", ""chili powder"", ""turmeric powder"", ""salt"", ""ghee"", ""green cardamom"", ""cloves"", ""cinnamon"", ""bay leaf"", ""plain yogurt"", ""fresh cilantro"", ""milk"", ""poppy seeds Roasted"", ""milk"", ""milk""]",Chicken,Meat
Coconut Curry Chicken With Plum Wine,"[""extra virgin coconut oil"", ""chicken"", ""coconut milk"", ""rice milk"", ""curry powder"", ""honey"", ""plum wine"", ""fish sauce"", ""cilantro"", ""lime""]",Chicken,Meat
Perfect Jamaican Curry Chicken,"[""thyme"", ""onion"", ""scallions"", ""garlic"", ""ginger"", ""pepper"", ""chicken"", ""ground cumin"", ""curry powder"", ""coconut oil"", ""potatoes"", ""ground black pepper"", ""chicken""]",Chicken,Meat
Super Easy Chicken Curry,"[""chicken breasts"", ""cream of mushroom soup"", ""cream of chicken soup"", ""broccoli"", ""curry powder"", ""red pepper"", ""soup"", ""milk""]",Chicken,Meat
Chicken And Chickpea Curry,"[""oil"", ""onion"", ""chicken"", ""rogan josh"", ""chicken stock"", ""potatoes"", ""chickpeas"", ""light coconut milk"", ""green beans"", ""tomatoes"", ""cilantro sprigs"", ""yogurt"", ""rice""]",Chicken,Meat
Green Chicken Curry,"[""salt"", ""chilli"", ""chicken"", ""onion"", ""green chillies"", ""cilantro"", ""ginger garlic"", ""salt"", ""turmeric"", ""chilli powder"", ""cooking oil spoons"", ""water"", ""cinnamon sticks smalls"", ""smalls"", ""cardamom"", ""garlic"", ""lemon juice Spoon"", ""leaves""]",Chicken,Meat
Slow Cooker Creamy Veal Curry,"[""vegetable oil"", ""white onion"", ""garlic"", ""curry powder"", ""bay leaves"", ""chicken stock"", ""coconut milk"", ""coriander""]",Chicken,Meat
Creamy Chicken Curry,"[""onions"", ""fresh ginger"", ""garlic"", ""red chilies"", ""chicken"", ""olive oil"", ""red bell pepper"", ""Garam Masala"", ""tomatoes"", ""winter"", ""brown sugar"", ""lime juice"", ""brown rice"", ""curry""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""onions"", ""tomatoes"", ""water"", ""curry powder"", ""nutmeg"", ""cinnamon"", ""chicken"", ""salt"", ""pepper""]",Chicken,Meat
Thai Green Curry,"[""chicken washed"", ""green curry"", ""coconut milk"", ""eggplants"", ""straw mushrooms"", ""baby corn"", ""onion"", ""red spur"", ""lime"", ""sweet basil"", ""fish sauce"", ""sugar"", ""cooking oil"", ""sweet basil"", ""red chili"", ""fresh green"", ""shallots"", ""garlic"", ""lemon grass"", ""lime rind"", ""coriander root"", ""white peppercorns"", ""coriander seeds"", ""cumin seeds"", ""salt"", ""shrimp paste""]",Chicken,Meat
Chicken Curry,"[""plain yogurt"", ""ground ginger"", ""garlic"", ""sweet paprika"", ""ground turmeric"", ""ground cumin"", ""Garam Masala"", ""chili powder"", ""chicken"", ""vegetable oil"", ""tomato"", ""cream"", ""cilantro"", ""naan"", ""rice""]",Chicken,Meat
Chicken Curry,"[""garlic"", ""onion"", ""bacon"", ""olive oil"", ""chicken"", ""coconut milk"", ""curry powder"", ""tomatoes""]",Chicken,Meat
Slow Cooked Pork Chops And Root Vegetables In Light Green Curry,"[""pork loin chops"", ""vegetable oil"", ""salt"", ""black pepper"", ""rounds"", ""carrots"", ""sweet potato"", ""coconut milk"", ""chicken broth reduced"", ""green curry"", ""brown sugar"", ""water"", ""fresh basil""]",Chicken,Meat
Instant Pot Thai Pork-Chop Curry,"[""coconut milk"", ""lime juice"", ""brown sugar"", ""fish sauce"", ""olive oil"", ""yellow onion"", ""red Thai curry paste"", ""ginger"", ""chicken broth"", ""cornstarch"", ""red bell pepper"", ""green bell pepper"", ""basil"", ""cauliflower rice""]",Chicken,Meat
Thai Green Chicken Curry,"[""chicken thigh"", ""green beans"", ""coconut cream"", ""green chillies"", ""garlic"", ""onions"", ""lemon grass chopped"", ""coriander"", ""oil"", ""water"", ""shrimp paste"", ""ground cumin"", ""ground turmeric""]",Chicken,Meat
Sweet-and-Spicy Chicken Curry,"[""long red chiles"", ""red chiles"", ""stalks of fresh lemongrass"", ""garlic"", ""shallots"", ""water"", ""vegetable oil"", ""chicken"", ""Kosher salt"", ""milk"", ""lemon juice"", ""Freshly ground pepper""]",Chicken,Meat
Pumpkin Curry,"[""onion"", ""garlic"", ""canola oil"", ""ginger"", ""pumpkin"", ""curry powder"", ""salt"", ""pepper"", ""tomato paste"", ""chicken broth"", ""chick-peas"", ""seedless raisin"", ""almonds"", ""fresh cilantro""]",Chicken,Meat
Coconut Milk Curry,"[""chicken"", ""eggplants"", ""carrot"", ""onion"", ""clove garlic"", ""curry powder"", ""cinnamon powder"", ""bay leaf"", ""salt"", ""coconut milk""]",Chicken,Meat
Nigellas Curry in a Hurry,"[""sesame oil"", ""fresh garlic"", ""spring onions"", ""green curry"", ""coconut milk"", ""coriander"", ""chicken"", ""chicken breasts"", ""lime""]",Chicken,Meat
Thai Curry Chicken,"[""red curry"", ""coconut milk"", ""sugar"", ""fish sauce"", ""red pepper"", ""chicken"", ""bamboo shoot"", ""fresh sweet basil""]",Chicken,Meat
Mild Chinese Curry,"[""chicken breasts"", ""vegetable oil"", ""curry powder"", ""onion"", ""potato"", ""frozen peas"", ""water""]",Chicken,Meat
Thai Red Chicken Curry,"[""cutlets"", ""salt"", ""canola oil"", ""red bell peppers"", ""water"", ""red curry"", ""coconut milk""]",Chicken,Meat
Spicy Chicken Curry,"[""Vegetable Oil"", ""Onion"", ""Chicken"", ""Salt"", ""Multi-Spice Masala"", ""Red Chili Powder"", ""Water"", ""Cilantro""]",Chicken,Meat
West Indian Beef Curry with Callaloo (Steamed Greens),"[""whole coriander seeds"", ""whole fennel seeds"", ""cumin"", ""black mustard seeds"", ""fenugreek"", ""whole black peppercorns"", ""ground ginger"", ""ground turmeric"", ""cinnamon"", ""swiss chard"", ""water"", ""onion"", ""tomatoes"", ""garlic"", ""Scotch"", ""vegetable oil"", ""butter"", ""thyme"", ""Salt"", ""vegetable oil"", ""braising"", ""stewing beef"", ""onions"", ""white sweet potatoes"", ""fresh"", ""tomatoes"", ""beef"", ""chicken broth"", ""water"", ""Indian Curry"", ""Salt""]",Chicken,Meat
Grandma's chicken curry special,"[""chicken"", ""potato"", ""yellow ginger"", ""ginger"", ""root"", ""purple onion"", ""red chilli"", ""coconut cream/milk"", ""water"", ""cooking oil""]",Chicken,Meat
Quick Curry Chicken,"[""Spring Onions"", ""Butter"", ""Cream Of Celery Soup"", ""Cream Of Chicken Soup"", ""Red Curry"", ""Sour Cream"", ""Paprika"", ""Nutmeg"", ""Ginger"", ""Lemon"", ""Chicken""]",Chicken,Meat
Curry-Braised Chicken,"[""Chicken Breasts"", ""Vegetable Oil"", ""Salt"", ""Pepper"", ""Curry"", ""Milk"", ""Fish Sauce"", ""Brown Sugar"", ""Lime Juice""]",Chicken,Meat
Breezy Point Chicken Curry Recipe,"[""celery"", ""onion"", ""clove garlic"", ""flour"", ""chicken bouillon"", ""chicken broth"", ""milk"", ""unsweetened applesauce"", ""tomato paste"", ""curry pwdr"", ""chicken""]",Chicken,Meat
Chicken Shrimp Curry Recipe,"[""onions"", ""oil"", ""water"", ""grnd coriander"", ""grnd ginger"", ""turmeric"", ""cumin seeds"", ""red pepper"", ""chicken"", ""plain yogurt"", ""salt"", ""water"", ""shrimp""]",Chicken,Meat
Chicken Curry,"[""chicken"", ""butter"", ""onions"", ""curry powder"", ""boiling water"", ""bouillon cube"", ""salt""]",Chicken,Meat
Shrimp Curry,"[""vegetable oil"", ""scallion"", ""curry powder"", ""coconut milk"", ""chicken broth"", ""sweet potatoes"", ""shrimp"", ""lime juice"", ""green peas"", ""fresh cilantro""]",Chicken,Meat
Coconut and Curry Marinated Skewered Chicken,"[""brown basmati rice"", ""light coconut milk"", ""brown sugar"", ""lime juice"", ""garam masala"", ""red curry"", ""salt"", ""chicken"", ""bell peppers"", ""coconut""]",Chicken,Meat
Curry Chicken With Couscous and Acorn Squash,"[""acorn"", ""couscous"", ""water"", ""golden raisin"", ""butter"", ""chicken breasts"", ""red bell pepper"", ""onion"", ""garlic"", ""curry powder"", ""honey"", ""mushroom"", ""sweet corn"", ""chicken broth"", ""black pepper"", ""paprika"", ""scallion""]",Chicken,Meat
Thai Curry Noodles,"[""rice"", ""oil"", ""carrot"", ""shiitake mushroom"", ""red pepper"", ""scallions"", ""coconut milk"", ""red curry"", ""sugar"", ""chicken"", ""lime juice"", ""peanuts"", ""fresh cilantro""]",Chicken,Meat
Phobic Chicken Curry,"[""vegetable oil"", ""chicken breast"", ""onion"", ""zucchini"", ""red bell pepper"", ""fresh pumpkin"", ""corn kernel"", ""cumin"", ""brown sugar"", ""ground ginger"", ""curry powder"", ""tomato sauce"", ""salt"", ""nuts""]",Chicken,Meat
Glazed Curry Chicken Recipe,"[""fryers"", ""Salt"", ""butter"", ""onion"", ""all-purpose flour"", ""curry pwdr"", ""chicken broth"", ""orange marmalade"", ""catsup"", ""lemon juice"", ""warm cooked rice""]",Chicken,Meat
Tomato-Yogurt Chicken Curry,"[""peanut"", ""cumin seeds"", ""red onion"", ""bay leaves"", ""tomatoes"", ""garlic"", ""ginger"", ""arbol chiles"", ""turmeric"", ""paprika"", ""skinless"", ""potatoes"", ""honey"", ""Kosher salt"", ""milk"", ""Generous"", ""basmati rice""]",Chicken,Meat
Japanese style chicken curry,"[""curry sauce"", ""carrots"", ""potato"", ""onion"", ""olive oil"", ""chicken breasts"", ""water"", ""apricot"", ""worcestershire"", ""curry""]",Chicken,Meat
Josh's Curry Chicken,"[""chicken breasts"", ""onion"", ""baby carrots"", ""curry powder"", ""spice powder"", ""chicken broth"", ""sour cream"", ""cornstarch"", ""water"", ""hot pepper oil"", ""red pepper"", ""salt""]",Chicken,Meat
Thai panang curry,"[""panang curry"", ""lime"", ""tomatoes"", ""onion"", ""sweet potatoes"", ""coconut milk"", ""mushrooms"", ""sugar"", ""fish sauce"", ""worcestershire sauce"", ""water"", ""chicken breasts"", ""basil"", ""sunflower oil"", ""rice"", ""ginger grated""]",Chicken,Meat
Chicken curry recipe,"[""chicken"", ""oil"", ""ginger paste"", ""garlic"", ""tomato"", ""tomatoes"", ""garam masala"", ""chilli powder"", ""turmeric"", ""cardamom seeds"", ""cinnamon"", ""bay leaf"", ""salt"", ""curry powder"", ""turmeric"", ""chilli powder"", ""ginger/garlic"", ""soy sauce"", ""salt""]",Chicken,Meat
Crispy Curry-Flavored Chicken Wings,"[""Chicken"", ""soy sauce"", ""Curry"", ""White flour""]",Chicken,Meat
Indian Chicken Curry,"[""chicken"", ""chili powder"", ""yogurt"", ""vinegar"", ""turmeric"", ""salt"", ""onions"", ""cinnamon"", ""cardamom"", ""curry"", ""cloves"", ""garlic"", ""fresh ginger"", ""coriander"", ""tomatoes"", ""salt"", ""water""]",Chicken,Meat
Chicken Curry,"[""vegetable oil"", ""onion"", ""flour"", ""curry powder"", ""chicken"", ""light coconut milk"", ""chicken"", ""salt""]",Chicken,Meat
Vietnamese Chicken & Asparagus Curry,"[""oil"", ""onion"", ""garlic"", ""ginger"", ""ground turmeric"", ""chicken stock"", ""coconut cream"", ""Coriander Dressing"", ""fish sauce"", ""cornflour"", ""lengths"", ""fresh Thai basil leaves"", ""rice""]",Chicken,Meat
Karen's Chicken Curry #2,"[""chicken thighs"", ""potatoes"", ""cauliflower"", ""onion"", ""apple"", ""rapini"", ""curry paste"", ""coconut milk""]",Chicken,Meat
Chicken Curry With Mango,"[""chicken breast"", ""salt"", ""pepper"", ""vegetable oil"", ""onion"", ""garlic"", ""curry paste"", ""cayenne pepper"", ""coconut milk"", ""tomatoes"", ""mango"", ""raisins"", ""fresh cilantro""]",Chicken,Meat
Quick Chicken Curry With Tomatoes and Peas,"[""long-grain white rice"", ""olive oil"", ""chicken breasts"", ""curry powder"", ""kosher salt"", ""pepper"", ""white wine"", ""onion"", ""garlic"", ""fresh ginger"", ""grape tomatoes"", ""frozen peas""]",Chicken,Meat
Spicy Chicken Curry,"[""onion"", ""garlic"", ""garam masala"", ""ground cumin"", ""cloves"", ""vegetable oil"", ""curry powder"", ""water"", ""chicken"", ""potatoes"", ""Kosher salt"", ""white rice""]",Chicken,Meat
Lamb Shank Braised with Green Curry and Vegetables,"[""lemongrass stalks"", ""cumin seeds"", ""cilantro stems"", ""fresh galangal"", ""garlic"", ""fresh green finger chiles"", ""fresh green Thai chiles"", ""belacan"", ""shallots"", ""lime"", ""fish sauce"", ""sugar"", ""lamb shanks"", ""extra virgin olive oil"", ""Salt"", ""stalk"", ""fresh galangal"", ""fresh green Thai chiles"", ""lime"", ""fresh cilantro"", ""onion"", ""chicken stock"", ""coconut milk"", ""baby carrots"", ""baby turnips"", ""scallions"", ""fresh peas"", ""fresh fava beans"", ""eggplants"", ""unsalted butter""]",Chicken,Meat
Curry for Beginners,"[""corn chowder soup"", ""curry"", ""chicken"", ""olive oil"", ""rice""]",Chicken,Meat
Coconut Milk Chicken Curry.,"[""Onions"", ""Tomato-"", ""Oil"", ""Cinnamon"", ""Bay Leaf"", ""Curry"", ""Ginger Garlic"", ""Potato-Cut into cubes"", ""Chicken"", ""Salt"", ""Turmeric"", ""Red Chilly Powder"", ""Water"", ""Coconut Milk"", ""Cumin"", ""Cardamon Powder""]",Chicken,Meat
Lalla's Special Mutton/Beef/Chicken Curry,"[""chicken"", ""Oil"", ""Onions"", ""Potatos"", ""carrots"", ""Tomatoes"", ""Salt"", ""Mixed Masala"", ""green ginger"", ""Tumeric Powder"", ""curry"", ""Cardamon"", ""Cinnamon"", ""Cinnamon"", ""Cumin"", ""Coriander Leaves"", ""Masala""]",Chicken,Meat
Mango Curry Chicken (Oamc),"[""yellow onion"", ""sugar"", ""curry powder"", ""ground coriander"", ""ground cinnamon"", ""cayenne pepper"", ""turmeric"", ""salt"", ""ground cloves"", ""chicken"", ""tomatoes"", ""mango"", ""cashews"", ""cilantro""]",Chicken,Meat
Quick Chicken Curry with Tomatoes & Peas,"[""long-grain white rice"", ""olive oil"", ""chicken breasts"", ""curry powder"", ""Kosher salt"", ""white wine"", ""onion"", ""clove garlic"", ""ginger"", ""grape tomatoes"", ""frozen peas""]",Chicken,Meat
Chicken Cider Curry Recipe,"[""oil"", ""butter"", ""chicken joints"", ""onion"", ""apple"", ""curry pwdr"", ""corn flour"", ""stock"", ""cider"", ""Salt"", ""sultanas"", ""light cream"", ""lemon juice"", ""Parsley sprigs""]",Chicken,Meat
Braised Chicken Curry with Yams,"[""Canola oil"", ""chicken"", ""white onions"", ""garlic"", ""ginger"", ""curry powder"", ""banana"", ""bay leaves"", ""chicken stock"", ""yams"", ""Salt""]",Chicken,Meat
Honey Mustard Curry Chicken,"[""Butter"", ""Honey"", ""Dijon Mustard"", ""Curry"", ""Cayenne Pepper"", ""Chicken Breasts""]",Chicken,Meat
Hawaiian Turkey Curry,"[""chicken broth"", ""turkey"", ""salt"", ""onion"", ""garlic"", ""ginger"", ""curry powder"", ""flour"", ""coconut milk"", ""milk""]",Chicken,Meat
Thai Chicken Red Curry,"[""chicken"", ""red chilli"", ""coconut milk"", ""chicken stock"", ""lime"", ""red pepper"", ""bamboo shoots"", ""sweet basils"", ""fishsauce"", ""sugar"", ""sugar"", ""salt"", ""oil"", ""clove garlic"", ""fingroots""]",Chicken,Meat
Chicken Curry,"[""garlic"", ""potatoes"", ""carrots"", ""cauliflower"", ""mushrooms"", ""coconut milk"", ""curry"", ""sugar"", ""cornstarch"", ""black pepper"", ""green onion""]",Chicken,Meat
Possibly the Easiest Shrimp Curry Ever!,"[""oil"", ""scallions"", ""tomatoes"", ""curry powder"", ""garlic"", ""chicken broth"", ""sour cream"", ""frozen peas"", ""shrimp""]",Chicken,Meat
Indian Chicken With a Curry Butter,"[""chicken breasts"", ""vegetable oil"", ""plain yogurt"", ""lemon juice"", ""garlic"", ""fresh ginger"", ""paprika"", ""curry powder"", ""cayenne"", ""ground cumin"", ""ground coriander"", ""salt"", ""white wine"", ""heavy cream"", ""shallot"", ""white wine vinegar"", ""butter"", ""coconut milk"", ""curry"", ""sugar"", ""fresh cilantro"", ""red pepper"", ""salt"", ""pepper""]",Chicken,Meat
Slow Cooker Chicken Curry with Potatoes and Cauliflower,"[""skinless"", ""Kosher salt"", ""canola oil"", ""garlic"", ""fresh ginger"", ""onion"", ""curry powder"", ""chicken broth"", ""baking potatoes"", ""head of cauliflower"", ""milk"", ""frozen baby peas"", ""cilantro""]",Chicken,Meat
Curry Chicken,"[""Chicken"", ""Curry"", ""thyme"", ""Yellow onion"", ""Green onions"", ""Potato"", ""Water"", ""Oil"", ""Salt""]",Chicken,Meat
Red Curry Chicken With Basil,"[""vegetable oil"", ""red curry"", ""coconut milk"", ""chicken breasts"", ""sugar"", ""fish sauce"", ""red bell pepper"", ""basil""]",Chicken,Meat
Martinique Coconut Chicken Curry,"[""Spice Mix"", ""garlic"", ""hot red chile"", ""salt"", ""ground coriander"", ""yellow mustard seeds"", ""ground turmeric"", ""Chicken"", ""sunflower"", ""chicken"", ""Kosher salt"", ""butternut squash"", ""onions"", ""eggplants"", ""potatoes"", ""bay leaves"", ""coconut milk"", ""chicken stock"", ""tamarind paste"", ""mango"", ""papaya"", ""lime"", ""rum"", ""suggestion""]",Chicken,Meat
Curry Chicken With Rice Recipe,"[""chicken breasts"", ""butter"", ""flour"", ""onion"", ""green pepper"", ""garlic"", ""chicken broth"", ""tomatoes"", ""thyme"", ""parsley"", ""curry"", ""Pepper"", ""rice""]",Chicken,Meat
Red Shrimp and Mango Curry,"[""scallion"", ""garlic"", ""red Thai curry"", ""coconut milk"", ""chicken stock"", ""fish sauce"", ""butternut squash"", ""mango"", ""lime juice"", ""fresh cilantro""]",Chicken,Meat
Easy Chicken Curry,"[""butter"", ""onion"", ""flour"", ""curry powder"", ""salt"", ""ground ginger"", ""sugar"", ""chicken broth"", ""milk"", ""chicken"", ""lemon juice"", ""rice""]",Chicken,Meat
Red Curry Chicken Braised in Coconut Milk,"[""red chile"", ""red curry"", ""yellow onion"", ""ginger"", ""freshly squeezed lime juice"", ""Asian sesame oil"", ""soy sauce"", ""honey"", ""salt"", ""chicken"", ""coconut milk"", ""mango""]",Chicken,Meat
Thai Curry,"[""oil"", ""onion"", ""garlic"", ""fresh ginger"", ""palm sugar"", ""fish sauce"", ""tomatoes"", ""coconut milk"", ""red curry"", ""lime"", ""chicken thighs"", ""gold potato""]",Chicken,Meat
Penzeys Chicken Curry,"[""thyme"", ""sweet curry"", ""tumeric"", ""garam masala"", ""ground cumin"", ""pepper"", ""salt"", ""cayenne pepper"", ""ground white pepper"", ""lemon"", ""salt"", ""olive"", ""onions"", ""garlic"", ""fresh cilantro"", ""cornstarch"", ""water"", ""fresh ginger"", ""lemon grass"", ""chicken breasts"", ""carrot"", ""green peas"", ""coconut butter"", ""tomato sauce""]",Chicken,Meat
Chicken and Peanut Thai Curry,"[""oil"", ""onion"", ""curry"", ""chicken breasts"", ""coconut milk"", ""fish sauce"", ""lime juice"", ""brown sugar"", ""peanuts"", ""basil"", ""pineapple""]",Chicken,Meat
